common_elements
LIN28A
DPPA4
DNMT3B
POU5F1
ZIC3
USP44
SALL4
MGP
SOX2
NMU
NFE2L3
GAL
NFKB1
HNRNPA1
GDF3
ALDH1A1
SMARCD3
PRDM14
CAPRIN1
MYCN
TUBB3
LMO2
ARID5B
SMARCC1
MEIS1
EXOSC5
TCF7L1
IGF2BP3
NANOG
GJA1
TP53
ZNF217
EPAS1
TRIM28
LEFTY1
CPSF3
FOXJ2
CBX5
FGF2
SKP2
NODAL
TCF3
E2F3
USP9X
ZFP42
EXOSC7
DCN
SIRT1
SMARCA4
EZH2
SPI1
UTF1
TBX3
SCML2
THY1
POU2F1
FOXO3
AHCY
HLF
SMARCA5
ZMYM3
PRDM16
DHX9
BATF
IGFBP7
INHBE
SOX4
JUNB
NEFM
SALL1
EGLN3
FKBP3
CDH1
NTS
MSI1
KLF4
PFN2
TCP1
SNAI2
SEMA3C
PXDN
FST
HLTF
PRRX1
